189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 145 ms, execution time: 12 ms, waiting time: 86 ms, processed by Server 4)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 2)
374575 getPopulationofCountry Guadeloupe Zone:5 (turnaround time: 91 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 5)
374575 getPopulationofCountry Guadeloupe Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 3)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 4)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
100848918 getPopulationofCountry Japan Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 3)
1907246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 1)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 89 ms, execution time: 4 ms, waiting time: 84 ms, processed by Server 5)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 86 ms, execution time: 4 ms, waiting time: 80 ms, processed by Server 5)
15411242 getPopulationofCountry Belgium Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 87 ms, execution time: 3 ms, waiting time: 82 ms, processed by Server 5)
30376 getPopulationofCountry Palau Zone:3 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 89 ms, execution time: 3 ms, waiting time: 84 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 91 ms, execution time: 4 ms, waiting time: 85 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 90 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 87 ms, execution time: 3 ms, waiting time: 82 ms, processed by Server 5)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
4803355 getPopulationofCountry Serbia Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
3328228 getPopulationofCountry Honduras Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 1)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 90 ms, execution time: 3 ms, waiting time: 84 ms, processed by Server 5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 90 ms, execution time: 4 ms, waiting time: 83 ms, processed by Server 5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 88 ms, execution time: 4 ms, waiting time: 83 ms, processed by Server 5)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 89 ms, execution time: 3 ms, waiting time: 83 ms, processed by Server 2)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 90 ms, execution time: 7 ms, waiting time: 81 ms, processed by Server 4)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 86 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 4)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 91 ms, execution time: 2 ms, waiting time: 82 ms, processed by Server 1)
4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 91 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 3)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 1)
1070 getPopulationofCountry Tokelau Zone:3 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 85 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 3)
266998322 getPopulationofCountry United States Zone:1 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 1)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 1)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 87 ms, execution time: 2 ms, waiting time: 84 ms, processed by Server 1)
1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 83 ms, execution time: 1 ms, waiting time: 80 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 88 ms, execution time: 3 ms, waiting time: 83 ms, processed by Server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 90 ms, execution time: 4 ms, waiting time: 84 ms, processed by Server 5)
134594036 getPopulationofCountry Brazil Zone:5 (turnaround time: 85 ms, execution time: 3 ms, waiting time: 81 ms, processed by Server 5)
233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 3)
16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 93 ms, execution time: 9 ms, waiting time: 81 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 2)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 1)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 85 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 4)
8833274 getPopulationofCountry Greece Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 3)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 3)
7375148 getPopulationofCountry Switzerland Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 93 ms, execution time: 5 ms, waiting time: 85 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 91 ms, execution time: 3 ms, waiting time: 87 ms, processed by Server 2)
7571439 getPopulationofCountry Kenya Zone:1 (turnaround time: 94 ms, execution time: 4 ms, waiting time: 89 ms, processed by Server 1)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 114 ms, execution time: 11 ms, waiting time: 98 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 98 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 4)
4803355 getPopulationofCountry Serbia Zone:3 (turnaround time: 116 ms, execution time: 2 ms, waiting time: 106 ms, processed by Server 3)
736951 getPopulationofCountry Gambia Zone:1 (turnaround time: 170 ms, execution time: 17 ms, waiting time: 88 ms, processed by Server 1)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 130 ms, execution time: 2 ms, waiting time: 107 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 101 ms, execution time: 2 ms, waiting time: 90 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 184 ms, execution time: 3 ms, waiting time: 138 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 241 ms, execution time: 2 ms, waiting time: 90 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 231 ms, execution time: 3 ms, waiting time: 87 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:1 (turnaround time: 120 ms, execution time: 7 ms, waiting time: 85 ms, processed by Server 1)
7571439 getPopulationofCountry Kenya Zone:3 (turnaround time: 129 ms, execution time: 5 ms, waiting time: 88 ms, processed by Server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 128 ms, execution time: 3 ms, waiting time: 92 ms, processed by Server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 136 ms, execution time: 7 ms, waiting time: 95 ms, processed by Server 3)
369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 175 ms, execution time: 3 ms, waiting time: 128 ms, processed by Server 3)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 188 ms, execution time: 10 ms, waiting time: 88 ms, processed by Server 1)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 170 ms, execution time: 6 ms, waiting time: 88 ms, processed by Server 1)
8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 338 ms, execution time: 225 ms, waiting time: 83 ms, processed by Server 5)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 148 ms, execution time: 1 ms, waiting time: 87 ms, processed by Server 1)
3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 137 ms, execution time: 12 ms, waiting time: 87 ms, processed by Server 2)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 142 ms, execution time: 41 ms, waiting time: 88 ms, processed by Server 5)
9362428 getPopulationofCountry Sweden Zone:2 (turnaround time: 116 ms, execution time: 5 ms, waiting time: 85 ms, processed by Server 2)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 139 ms, execution time: 17 ms, waiting time: 86 ms, processed by Server 5)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 101 ms, execution time: 4 ms, waiting time: 82 ms, processed by Server 4)
266998322 getPopulationofCountry United States Zone:4 (turnaround time: 100 ms, execution time: 2 ms, waiting time: 84 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 96 ms, execution time: 1 ms, waiting time: 90 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 98 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 92 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
7375148 getPopulationofCountry Switzerland Zone:5 (turnaround time: 91 ms, execution time: 4 ms, waiting time: 85 ms, processed by Server 5)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 2)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 94 ms, execution time: 6 ms, waiting time: 84 ms, processed by Server 5)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 93 ms, execution time: 5 ms, waiting time: 86 ms, processed by Server 5)
1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 87 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 4)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 92 ms, execution time: 5 ms, waiting time: 83 ms, processed by Server 5)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 91 ms, execution time: 4 ms, waiting time: 85 ms, processed by Server 5)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 91 ms, execution time: 4 ms, waiting time: 84 ms, processed by Server 5)
8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 82 ms, processed by Server 4)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 92 ms, execution time: 4 ms, waiting time: 86 ms, processed by Server 5)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 93 ms, execution time: 6 ms, waiting time: 85 ms, processed by Server 5)
184225 getPopulationofCountry Guam Zone:1 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 1)
1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 85 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 2)
374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 86 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 105 ms, execution time: 15 ms, waiting time: 84 ms, processed by Server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 131 ms, execution time: 33 ms, waiting time: 94 ms, processed by Server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 175 ms, execution time: 49 ms, waiting time: 122 ms, processed by Server 1)
3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 157 ms, execution time: 8 ms, waiting time: 88 ms, processed by Server 3)
63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 271 ms, execution time: 167 ms, waiting time: 102 ms, processed by Server 5)
3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 106 ms, execution time: 6 ms, waiting time: 94 ms, processed by Server 2)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 216 ms, execution time: 26 ms, waiting time: 177 ms, processed by Server 5)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 174 ms, execution time: 36 ms, waiting time: 92 ms, processed by Server 4)
61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 126 ms, execution time: 3 ms, waiting time: 86 ms, processed by Server 1)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 415 ms, execution time: 237 ms, waiting time: 82 ms, processed by Server 5)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 223 ms, execution time: 99 ms, waiting time: 95 ms, processed by Server 2)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 198 ms, execution time: 2 ms, waiting time: 165 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 360 ms, execution time: 15 ms, waiting time: 295 ms, processed by Server 5)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 344 ms, execution time: 32 ms, waiting time: 288 ms, processed by Server 5)
7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 116 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 1)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 349 ms, execution time: 12 ms, waiting time: 314 ms, processed by Server 5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 243 ms, execution time: 20 ms, waiting time: 161 ms, processed by Server 5)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 141 ms, execution time: 28 ms, waiting time: 82 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 123 ms, execution time: 1 ms, waiting time: 97 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 98 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 102 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 93 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 109 ms, execution time: 3 ms, waiting time: 87 ms, processed by Server 3)
3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 3)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 97 ms, execution time: 6 ms, waiting time: 81 ms, processed by Server 5)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 102 ms, execution time: 12 ms, waiting time: 82 ms, processed by Server 5)
3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 105 ms, execution time: 5 ms, waiting time: 89 ms, processed by Server 3)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 91 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
266998322 getPopulationofCountry United States Zone:5 (turnaround time: 117 ms, execution time: 17 ms, waiting time: 91 ms, processed by Server 5)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 96 ms, execution time: 2 ms, waiting time: 91 ms, processed by Server 4)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 97 ms, execution time: 2 ms, waiting time: 87 ms, processed by Server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 97 ms, execution time: 1 ms, waiting time: 87 ms, processed by Server 1)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 110 ms, execution time: 7 ms, waiting time: 84 ms, processed by Server 5)
6340891 getPopulationofCountry Guatemala Zone:5 (turnaround time: 97 ms, execution time: 6 ms, waiting time: 83 ms, processed by Server 5)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 99 ms, execution time: 3 ms, waiting time: 83 ms, processed by Server 2)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 98 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 2)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 89 ms, execution time: 2 ms, waiting time: 84 ms, processed by Server 2)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 2)
64035243 getPopulationofCountry Indonesia Zone:2 (turnaround time: 92 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
2501302 getPopulationofCountry Panama Zone:1 (turnaround time: 86 ms, execution time: 3 ms, waiting time: 80 ms, processed by Server 1)
3988332 getPopulationofCountry Paraguay Zone:3 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 3)
3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 93 ms, execution time: 5 ms, waiting time: 86 ms, processed by Server 5)
3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 88 ms, execution time: 5 ms, waiting time: 82 ms, processed by Server 5)
1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 2)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
184225 getPopulationofCountry Guam Zone:5 (turnaround time: 86 ms, execution time: 4 ms, waiting time: 81 ms, processed by Server 5)
3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 3)
3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
374575 getPopulationofCountry Guadeloupe Zone:4 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 83 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 4)
1182883 getPopulationofCountry Slovenia Zone:2 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 2)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 90 ms, execution time: 4 ms, waiting time: 84 ms, processed by Server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 93 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 91 ms, execution time: 6 ms, waiting time: 83 ms, processed by Server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 90 ms, execution time: 4 ms, waiting time: 84 ms, processed by Server 5)
3157852 getPopulationofCountry Croatia Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 2)
